Part,Description,Value,Case,Power,Supplier 1,Supplier Part Number 1,Library Path,Library Ref,Footprint Path,Footprint Ref,Company,Comment
RES0805_1.00,"RES 0805 1.00Ohm 1/8W",1.00,0805,1/8,Digikey,541-1CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.02,"RES 0805 1.02Ohm 1/8W",1.02,0805,1/8,Digikey,541-1.02CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.05,"RES 0805 1.05Ohm 1/8W",1.05,0805,1/8,Digikey,541-1.05CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.07,"RES 0805 1.07Ohm 1/8W",1.07,0805,1/8,Digikey,541-1.07CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.10,"RES 0805 1.10Ohm 1/8W",1.10,0805,1/8,Digikey,541-1.1CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.13,"RES 0805 1.13Ohm 1/8W",1.13,0805,1/8,Digikey,541-1.13CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.15,"RES 0805 1.15Ohm 1/8W",1.15,0805,1/8,Digikey,541-1.15CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.18,"RES 0805 1.18Ohm 1/8W",1.18,0805,1/8,Digikey,541-1.18CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.21,"RES 0805 1.21Ohm 1/8W",1.21,0805,1/8,Digikey,541-1.21CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.24,"RES 0805 1.24Ohm 1/8W",1.24,0805,1/8,Digikey,541-1.24CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.27,"RES 0805 1.27Ohm 1/8W",1.27,0805,1/8,Digikey,541-1.27CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.30,"RES 0805 1.30Ohm 1/8W",1.30,0805,1/8,Digikey,541-1.3CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.33,"RES 0805 1.33Ohm 1/8W",1.33,0805,1/8,Digikey,541-1.33CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.37,"RES 0805 1.37Ohm 1/8W",1.37,0805,1/8,Digikey,541-1.37CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.40,"RES 0805 1.40Ohm 1/8W",1.40,0805,1/8,Digikey,541-1.4CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.43,"RES 0805 1.43Ohm 1/8W",1.43,0805,1/8,Digikey,541-1.43CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.47,"RES 0805 1.47Ohm 1/8W",1.47,0805,1/8,Digikey,541-1.47CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.50,"RES 0805 1.50Ohm 1/8W",1.50,0805,1/8,Digikey,541-1.5CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.54,"RES 0805 1.54Ohm 1/8W",1.54,0805,1/8,Digikey,541-1.54CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.58,"RES 0805 1.58Ohm 1/8W",1.58,0805,1/8,Digikey,541-1.58CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.62,"RES 0805 1.62Ohm 1/8W",1.62,0805,1/8,Digikey,541-1.62CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.65,"RES 0805 1.65Ohm 1/8W",1.65,0805,1/8,Digikey,541-1.65CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.69,"RES 0805 1.69Ohm 1/8W",1.69,0805,1/8,Digikey,541-1.69CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.74,"RES 0805 1.74Ohm 1/8W",1.74,0805,1/8,Digikey,541-1.74CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.78,"RES 0805 1.78Ohm 1/8W",1.78,0805,1/8,Digikey,541-1.78CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.82,"RES 0805 1.82Ohm 1/8W",1.82,0805,1/8,Digikey,541-1.82CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
